Acquisition Date,Description,Disposal Date,Location,Acquisition Value,System Number,Serial Number
7/1/2006,"48""x30"" Adjustable Table",,WI,12.15,2,
7/1/2006,Multi-Functional Ergo Cha,,WI,10.27,3,
7/1/2006,Refrigerator,,WI,52.27,5,
7/1/2006,(8) Copper Confer. Rm Cha,,WI,252.77,10,
7/1/2006,TransactionTable Conf Rm,,WI,21.47,11,
7/1/2006,TV Cart Conf Rm,,WI,77.69,12,
7/1/2006,Screen Mobile MarkierBoar,,WI,19.89,13,
7/1/2006,(2) 72x48 Oval conferen t,,WI,133.05,14,
7/1/2006,12 Copper Chairs Program,,WI,430.85,15,
7/1/2006,File Lateral 3 drwr-recep,,WI,38.53,16,
7/1/2006,Pedestal 2 box 1 file dwr,,WI,19.28,19,
7/1/2006,Pedestal 2 file dwr recep,,WI,17.63,20,
7/1/2006,Bookcase 3 shelves-relax,,WI,28.55,23,
7/1/2006,Storage Cabinet 18x36x41,,WI,30.14,24,
7/1/2006,Lateral file 4 dwr-acctin,,WI,49.05,25,
7/1/2006,2 Blue chairs-accting,,WI,64.72,26,
7/1/2006,2 center plastic desk dwr,,WI,5.18,27,
7/1/2006,Small center table-acctin,,WI,50.27,28,
7/1/2006,2 overhead storage w/ligh,,WI,51.81,29,
7/1/2006,2 Pedestal 2 box/1 file d,,WI,45.18,31,
7/1/2006,2 Pedestal 2 file dwr 26d,,WI,40.77,32,
7/1/2006,"3 Slatwall 48"" Wall mount",,WI,24.31,33,
7/1/2006,3 file lateral 3 dwr 18x3,,WI,100.55,34,
7/1/2006,3 Cabinet storage 18x36x4,,WI,87.79,35,
7/1/2006,10 Copper training chairs,,WI,315.96,38,
7/1/2006,2 Blue chairs accting roo,,WI,65.93,39,
7/1/2006,2 Sweeper tables,,WI,7.51,40,
7/1/2006,TV Cart for Lounge,,WI,77.69,41,
7/1/2006,Coat Rack for Office,,WI,54.93,42,
7/1/2006,5 drawer File cabinet in,,WI,10.36,43,
7/1/2006,Binding System 300,,WI,56.49,44,MFP0162
7/1/2006,JVC VCR,,WI,16.94,46,
7/1/2006,Aerial Shot of Union Artw,,WI,53.54,47,
7/1/2006,Royal Sovereign CrossCut,,WI,43.05,50,
7/1/2006,Carpeting for Trade Show,,WI,184.47,51,
7/1/2006,Tradeshow Booth,,WI,1619.8,52,
7/1/2006,"SamSung 42"" ED Plasma TV",,WI,1569.81,53,39FY3CFY302511W
7/1/2006,Draper Mobile Plasma TV M,,WI,515.42,54,
7/1/2006,4th Fl Conference Rm Tabl,,WI,426.17,55,
7/1/2006,4th Fl-Conf Rm Wall Marke,,WI,254.4,56,
1/31/1998,File Cabinets #13,,WI,570,57,
1/5/2001,CCC File Cabinet #46,,WI,234,59,
7/1/2006,7 Blue Programmer chairs,,WI,252.87,60,
7/1/2006,(1) Screen Marker Boards,,WI,17.95,61,
7/1/2006,2 Mobile Pedestal File Ca,,WI,55.05,62,
7/1/2006,1 small sweeper tables,,WI,3.76,63,
7/1/2006,4th Fl (3) Conf Rm Chairs,,WI,1219.76,65,
7/1/2006,Iomega Zip 250 Drive,,WI,0.01,66,
7/1/2006,Fold Flat Hand Truck,,WI,10.27,67,
7/1/2006,HP Deskjet 1220C Printer,,WI,0.01,68,SG01S131TC
7/1/2006,(3) Chatsworth Stan. 19in,,WI,0.01,69,
7/1/2006,Mimio Capture Bar Package,,WI,0.01,70,
7/1/2006,JetDirect 300X Ext PSVR,,WI,0.01,72,
7/1/2006,Smartups 1400VA RM 2U Lin,,WI,0.01,73,
7/1/2006,Laserjet8100DN Laser Prin,,WI,0.01,74,USDG010015
7/1/2006,Baystack 60-8T Hub,,WI,0.01,78,
7/1/2006,Sun Adapter W/Cables,,WI,0.01,79,
7/1/2006,Fractional T1 DSU/CSU Wan,,WI,0.01,80,S19252639
7/1/2006,Acceleport RAS PCI Card w,,WI,0.01,82,SV95193055
7/1/2006,(2) Webcams,,WI,0.01,84,
7/1/2006,Rack for Dell PowerEdge B,,WI,0.01,85,B7SB10B
7/1/2006,Powervault T120DLT,,WI,0.01,86,CX950K2508
7/1/2006,Dell Poweredg 2450 Base S,,WI,0.01,88,2ZZT00B
7/1/2006,CD Burner Plextor Int,,WI,0.01,89,
7/1/2006,Toshiba G3 True XGA Proje,,WI,0.01,91,47691156
7/1/2006,PIII 866Mhz S.F.  Dev Com,,WI,3.73,94,
7/1/2006,8 Port Hub Netgear DS108,,WI,0.01,95,DS18107197978
7/1/2006,8 Port Hub Netgear DS108,,WI,0.01,96,DS18107197980
7/1/2006,Model 8500P-Notebook Comp,,WI,0.01,97,N8000E5P00517
7/1/2006,Sunray Dumb Terminal,,WI,6.43,98,LT004100643
7/1/2006,20/40G Tape Backup Powerv,,WI,11.14,99,
7/1/2006,Motorola Advisor Elite Pa,,WI,0.01,100,608-303-7581
7/1/2006,X-option CD-ROM Slimline,,WI,1.06,103,5243735
7/1/2006,Opt int Disk Hardrive-Har,,WI,2.45,106,0135Z33757
7/1/2006,Opt int Disk Harddrive-Bu,,WI,2.45,107,0135Z25601
7/1/2006,Cisco PIX-515,,WI,5.28,108,44480190665
7/1/2006,Dell Dimension 4500 Compu,,WI,141.1,115,HZJSK11
7/1/2006,Sun CD-Rom Slimline FJ2,,WI,1.31,118,SFX21820535
7/1/2006,0Sun CD-Rom Slimline FJ2,,WI,1.31,119,SFX21820623
7/1/2006,Sun 18.2GB/10K Int Ultscs,,WI,3.13,120,S0209KPMGNY
7/1/2006,Sun 18.2GB/10K Int Ultscs,,WI,3.13,121,S0209KPMH1P
7/1/2006,Apple MacIntosh eMac,,WI,148.73,124,
7/1/2006,TOS-6100 Laptop,,WI,179.97,128,92113327P
7/1/2006,CISCO2511 Server,,WI,69.27,134,251423092
7/1/2006,Nortel/Baystack 350-24T S,,WI,52.86,141,SSGLKKOGTW
7/1/2006,Sun SF V100 550MZ ($1245.,,WI,14.97,146,SCV30301129
7/1/2006,Daves Apple Laptop,,WI,771.11,149,
7/1/2006,Dell Inspiron 8200 Laptop,,WI,646.82,150,CN-04T177-12961
7/1/2006,Maxt 250GB Firewall Hardd,,WI,97.22,151,A80B501E
7/1/2006,APC SmartUPS 1400,,WI,85.07,152,AS0039113306
7/1/2006,Toshiba P10-S429 Laptop,,WI,568.7,156,93389735K
7/1/2006,PowerEdge 650 Plone Serve,,WI,602.02,158,UCDS194101612
7/1/2006,BENQ PB6200 Overhead Proj,,WI,617.5,159,99J8577BZA40800
7/1/2006,IBook G4 14.1 Laptop,,WI,774.63,160,UV4159KWQHV
7/1/2006,PIX 4Port 10/100 Ethernet,,WI,192.43,163,
7/1/2006,PIX 4Port 10/100 Ethernet,,WI,192.43,164,
7/1/2006,LG CDMA CAM Cell Phone,,WI,7.66,165,
7/1/2006,Mac Mini 1.25 GHz G4,,WI,668.02,168,YM5096J3RHT
7/1/2006,RFB Int Disk 36.4GB/10K D,,WI,256.26,169,30669291
7/1/2006,RFB Int Disk 36.4GB/10K D,,WI,256.26,170,0511RB1808
7/1/2006,RFB Int Disk 36.4GB/10K D,,WI,256.26,171,0511RB1811
7/1/2006,RFB Int Disk 36.4GB/10K D,,WI,256.26,172,0511RB1810
7/1/2006,420 R Server,,WI,1847.3,174,123COAAD
7/1/2006,ThinkPad T42 series Lapto,,WI,1172.93,175,99-W4775
7/1/2006,Single Span T1/E1 PCI Car,,WI,406.13,176,In Poweredge
7/1/2006,IBM EXP TP T42 Laptop,,WI,1229.34,177,1S2379DXUL3AD82
7/1/2006,Dell PowerEdge 1850,,WI,1306.5,178,5NVKW71
7/1/2006,REFCAC Adit 600 CMG Route,,WI,626.92,179,
7/1/2006,REFCAC 8A Octal FXS Card,,WI,679.22,180,
7/1/2006,REFCAC Adit 600 Base,,WI,365.76,181,
7/1/2006,REFCAC Dual Adit Rack Mou,,WI,179.19,182,
7/1/2006,Compaq Dev Server/WebSphe,,WI,1280,183,
7/1/2006,Apple Powerbook Laptop,,WI,1423.31,184,SW854280ASWZ
11/19/2006,Dell Dual Core Processor,,WI,1798.79,186,
6/30/2006,Dell Computer-Bob Wopat,,WI,1287.11,187,
4/15/2006,Dell optiPlex 210L Chris,,WI,693.15,188,
5/1/2006,Dell optiPlex 210L Connie,,WI,808.14,189,
5/1/2006,Dell optiPlex 210L Rob Th,,WI,808.13,190,
5/1/2006,Dell optiPlex 210L Sally,,WI,808.13,191,
5/1/2007,Dell Server for Insinkera,,WI,1505.49,192,
7/1/2007,NAS Drive for Backups,,WI,610.54,193,
12/31/1998,CCC#12 Microage Server,,WI,528,194,
11/30/1998,CCC#20 HRIS System,,WI,6700,198,
3/31/1998,CCC#21 Top Support Softwa,,WI,348,199,
5/31/1998,CCC#22  MS Office Softwar,,WI,627,200,
12/31/1998,CCC#24  ABRA Software,,WI,5705,201,
12/31/1998,CCC#25 Software RW,,WI,310,202,
2/28/1999,CCC#30  Galaxy Software,,WI,3159,205,
2/28/1999,CCC#31 MS Exchange,,WI,1008,206,
3/31/1999,CCC#32  2 HP Printers,,WI,2332,207,
9/30/1999,CCC#33 Printer for Lee,,WI,517,208,
11/18/1999,CCC#34 Network Software,,WI,939,209,
1/12/2000,CCC#35 Router,,WI,1205,210,
4/26/2000,CCC#37 Web Server Compute,,WI,1807,211,
11/27/2000,CCC#42 Window Office 2000,,WI,496,212,
1/26/2001,CCC#45  Comp.USA Printer,,WI,129,213,
2/1/2001,CCC#47 Genuity Frame Rela,,WI,545,214,
12/1/2001,CCC#49  Office Equip,,WI,145,215,
6/1/2001,CCC#50 Office Equip,,WI,218,216,
10/1/2002,CCC#51 Server + 2 comp dr,,WI,1065,217,
8/16/2002,CCC#52 Digital Camera,,WI,295,218,
1/24/2003,CCC#53  IBM Thinkpad 390,,WI,400,219,
8/25/2004,CCC#57 Barracuda Spam Fir,,WI,3013,220,
8/25/2004,CCC#58  MS 2003 Server,,WI,3645,221,
8/25/2004,CCC#59 Netscreen Firewall,,WI,1725,222,
8/25/2004,CCC360  Unitrend DPU250+d,,WI,6136,223,
12/13/2004,CCC#61  Dell Poweredge,,WI,10350,224,
2/28/2005,CCC#62  Laptop Rich,,WI,3645,225,
2/28/2005,CCC#63 Laptop Patty,,WI,3162,226,
2/26/2008,Dell Inspiron 1720 Laptop,,WI,1355.71,227,JC5DQF1
3/12/2009,"DCL20A+20"" Widescrn LCD M",,WI,133.44,230,
3/12/2009,"DCL20A+20"" Widescrn LCD M",,WI,133.44,231,
3/12/2009,"DCL20A+20"" Widescrn LCD M",,WI,133.44,232,
3/12/2009,"DCL20A+20"" Widescrn LCD M",,WI,133.44,233,
4/2/2009,Apple 15.4 Macbook Pro,,WI,2508.81,234,
4/17/2009,Apple MacbookPro 2.8 GHZ,,WI,2793.65,235,
7/28/2009,Thinkpad R500 Laptop,,WI,810.24,237,R8PT938
8/3/2009,Compaq Presario Laptop,,WI,353.95,238,2CE918JLXV
8/3/2009,Compaq Presario Laptop,,WI,353.95,239,2CE918LJ91
11/8/2009,Apple MBP 15.4/CTO Laptop,,WI,2333.67,240,w89451KH64B
12/8/2009,Toshiba Qosmio NotebookX5,,WI,1916.23,241,Y9121416W
6/24/2010,Apple MacBook 13 A1181,,WI,837.81,242,W874358S0HB
6/26/2010,MacBook Pro 13.3/2.66 Lap,,WI,1958.88,243,W802325NATN
7/22/2010,Blackberry Cell 301-801-2,,WI,181.97,244,
9/30/2010,Lenovo Thinkpad Edge Lapt,,WI,758.5,245,LR-DMWCE 10/07
10/6/2010,Dell Studio 15 Laptop,,WI,1130.95,246,
10/6/2010,Dell ST2410 Ext Monitor,,WI,210.99,247,
7/1/2006,TimeValue 4 for Windows,,WI,0.01,248,
7/1/2006,RTR W/Cisco IOS IP Softwa,,WI,0.01,251,SJAB04158AV5
7/1/2006,Exceed Software-,,WI,0.01,252,
7/1/2006,Symantec Act 2000 V5.0,,WI,0.01,253,
7/1/2006,Joydesk Server 2.11 for L,,WI,0.01,254,
7/1/2006,Dreamweaver v3.0 software,,WI,0.01,255,
7/1/2006,Cisco 2600 IP/FW Plus IPS,,WI,0.01,256,
7/1/2006,iNet Sprinta 2000 JDBC Dr,,WI,0.01,257,
7/1/2006,Red Hat Linux Software,,WI,0.01,258,
7/1/2006,Peachtree Complete 2002,,WI,0.01,260,
7/1/2006,Adobe Photoshop7.0 Window,,WI,0.01,261,
7/1/2006,Red Hat Linux 7.3,,WI,0.01,262,
7/1/2006,Portent Supreme Software,,WI,0.01,263,
7/1/2006,VMware Workstation 3.2 up,,WI,0.01,264,
7/1/2006,Mac OS X v10.2 Upgrade,,WI,0.01,265,
7/1/2006,Microsoft NT WS V4.0 Lice,,WI,0.01,266,
7/1/2006,Microsoft Win 95 License,,WI,0.01,267,
7/1/2006,Micrsoft Win 98 Second Ed,,WI,0.01,268,
7/1/2006,Windows XP Professional,,WI,0.01,269,
7/1/2006,Virtual PC 6 Mac W/XP,,WI,0.01,270,
7/1/2006,MS Visual Studio.Net Pro,,WI,14.65,271,
7/1/2006,RedPoint Software,,WI,593.87,272,
7/1/2006,ObjectDomain R3 Standard,,WI,101.54,273,
7/1/2006,Suse Linux Server Softwar,,WI,121.89,274,2133-1-MFJ-1
7/1/2006,SQL4X Manager J Enterpris,,WI,43.67,275,S4E2-E3F9-6ES5-
7/1/2006,Microsoft Visio Profess 2,,WI,293.57,276,
7/1/2006,MS MBL W2003 Software,,WI,726.82,277,
7/1/2006,Ado Design BND Mac Softwa,,WI,1476.13,278,
10/9/2009,Adobe Creative Suite 4 We,,WI,849.22,279,
12/3/2009,Adobe Creative Suite 4 We,,WI,1808.22,280,
6/23/2010,Adobe Photoshop CS5,,WI,737.45,281,
11/24/2010,Lenovo Laptop (R Holub),,WI,506.39,282,WB00596483
9/28/2011,8x8 20 Phones for new offices,,WI,2412.55,283,
9/28/2011,8x8 1 Speaker Phone for new offices,,WI,504.48,284,
9/28/2011,Best Buy - Stove for New Office,,WI,388.22,285,
9/28/2011,Best Buy - Microwave for New Office,,WI,179.34,286,
9/28/2011,21 Z-Line Gemini Desks for New Offices,,WI,1550.63,287,
9/28/2011,21 Z-Line Gemini Cabinets/printer stands,,WI,1107.52,288,
9/28/2011,12 Z-Line Gemini Bookcases for new offices,,WI,886.08,289,
9/28/2011,6 Bush Cubix Round tables for new offices,,WI,1069.77,290,
9/28/2011,4 Creswick Office Chairs - Management,,WI,421.96,291,
10/24/2011,8x8 5 Polycom SoundPoint IP550 Phones,,WI,363.99,292,
2/10/2011,Lenovo Intel Pentium Laptop for Dan Baertlein,,WI,400.89,293,
4/1/2011,Best Buy- Lenovo Laptops Frank Lapin,,WI,369.24,294,
4/1/2011,Best Buy - Lenovo Laptop Sally Harris,,WI,369.24,295,
5/17/2011,Fujitsu FI 6130 Document Scanner,,WI,955.83,296,SN#299872
5/19/2011,Lenovo Laptop for Intern,,WI,369.24,297,
5/19/2011,"6 Ipad- Spude, Hannon, Hasse, Baertlein, Goldstein, Powell",,WI,3717.6,298,
5/19/2011,"2 Ipads - Holub, Ruggless",,MN,1239.19,299,
6/9/2011,Amazon- Apple MacBook Pro MC700LL - Uselmann,,WI,1254.52,300,
6/29/2011,Lenovo Laptop Computer for Caswick,,WI,369.24,301,
6/29/2011,Best Buy- Samsung B2330H Flat Monitor,,WI,215.21,302,
7/8/2011,Fujitsu 6130 Document Scanner,,WI,955.83,303,SN#330585
9/9/2011,SSD Hard Drive Upgrade Kit and Ram Upgrade 8GB- Brice Ruth Laptop,,WI,405.2,304,
9/9/2011,Apple Store- Macbook Pro Laptop- Brice Ruth,,WI,1613.1,305,SN# C2QG7H6JDRC
9/30/2011,Best Buy- Lenovo Ideapad Laptop- Freitag,,WI,559.14,306,WBO2367765
9/30/2011,Best Buy- Lenovo Ideapad - Ruggless,,MN,559.14,307,WB02367864
9/30/2011,Best Buy- Lenovo Ideapad Laptop,7/12/2012,WI,559.14,308,
9/30/2011,Best Buy- Lenovo V570 Laptop - Bob Wall,,MN,664.64,309,WB02736602
10/12/2011,Apple Thunderbolt Display - Holm,,MN,1071.68,310,
10/12/2011,Ipad 2 WiFi 16GB- Holm,,MN,535.3,311,
10/12/2011,MacBook Pro etc.  Holm,,MN,2788.08,312,
10/27/2011,EHP LJ Pro Printer - T Holm,,MN,241.59,313,
11/30/2011,Samsung Series 5 Chromebook- D. Hannon,,WI,502.53,314,
11/30/2011,Apple MBAIR Computer and Adaptors - Powell,,WI,1668.96,315,SNC02GN81YDJWV
11/30/2011,Apple Macbook Air for Mike Spude,,WI,1602.6,316,C02GP6G5DJWV
11/30/2011,AppleCare for Macbook - Spude,,WI,236.42,317,
11/30/2011,Samsung Series 5 Chromebook - R. Headley,,WI,478.95,318,
12/16/2011,Macbook Air and Adaptors/Trackpad for A. Goldstein,,WI,1730.68,319,
12/16/2011,Macbook Pro AppleCare - A. Goldstein,,WI,236.42,320,
12/19/2011,"Sony Bravia 40"" TV from Frank",,WI,527.5,321,KDL-40XBR6
12/21/2011,"Sony Google TV 46"" for Conference Room",,WI,926.28,322,
7/6/2011,Adobe Photoshop CS5 Software - Client Services,,WI,778.01,323,
9/14/2011,Adobe CS5 Photoshop - D. Uselmann,,WI,738.49,324,
9/30/2011,Microsoft Office Home and Business 2010 for Accounting,,WI,295.39,325,
10/12/2011,Adobe CS 5.5 Design Premium - T. Holm,,MN,2038.18,326,
5/19/2011,Lenovo Laptop for Intern,,WI,369.24,327,
10/24/2011,8x8 2 Polycom Soundpoint phones,,MN,242.67,328,
1/6/2012,Lanovo G570 Intel Penitium Laptop - P. Novotnak,,WI,421.99,329,
1/6/2012,Lenovo G570 Intel Pentium Laptop - J. Gorman,,WI,421.99,330,
1/31/2012,Ipad 2 WIFI SN DQTGV7BMDFHW with App - B. Ruth,,WI,590.92,331,
1/31/2012,MacBook Air SNC02GW9A9DJWV w/Macbook Pro App - S. Ruggless,,WI,1839.03,332,
3/19/2012,Windows 2008 R2/Exchange Server Hardware,,WI,791.25,333,
3/28/2012,Apple Macbook Pro -K Everert,,WI,2735.77,334,
3/31/2012,"Acer11.6""Chromebook Laptop - D. Hannon",,WI,411.44,335,
5/16/2012,B570 Lenovo 15.6 Laptop - C Tedrick,,WI,400.89,336,
5/16/2012,B570 Lenovo 15.6 Laptop - Spude Megan,,WI,400.89,337,
7/7/2012,2 Dual Monitors and Display Port Interface - B. Ruth,,WI,806.8,338,
7/30/2012,MBP 15.4 Macbook Pro MD103LL/V - W. Sadler,,WI,2134.43,339,
2/9/2012,Microsoft Office - C Freitag,,WI,147.7,340,
2/9/2012,Microsoft Office - P. Novotnak,,WI,147.69,341,
3/19/2012,Exchange 2007 Server License,,WI,527.5,342,
